words	freq	n	p
挑李	73	2	6.22036E-06
朱風	73	2	6.22036E-06
孽劉	73	2	6.22036E-06
梁凸手	73	3	6.22036E-06
魯毛	72	2	6.13515E-06
吊里	72	2	6.13515E-06
公氓	72	2	6.13515E-06
扑野貞	72	3	6.13515E-06
垃九圾	71	3	6.04994E-06
炒能左	71	3	6.04994E-06
淫卓廷	71	3	6.04994E-06
攻文黨	71	3	6.04994E-06
吊得少	70	3	5.96473E-06
七能	70	2	5.96473E-06
歐狗	70	2	5.96473E-06
淋井	70	2	5.96473E-06
發爛功	70	3	5.96473E-06
糖營	69	2	5.87952E-06
9 fing fing	68	11	5.79431E-06
無西用	68	3	5.79431E-06
含卵	68	2	5.79431E-06
大６９	68	3	5.79431E-06
郁聞	68	2	5.79431E-06
特嘔	68	2	5.79431E-06
淫基	68	2	5.79431E-06
劉已完	67	3	5.7091E-06
犯國規	67	3	5.7091E-06
彭屎	67	2	5.7091E-06
杜汶賊	67	3	5.7091E-06
鶴者	67	2	5.7091E-06
法卵公	66	3	5.62389E-06
老末	65	2	5.53868E-06
晒狗氣	65	3	5.53868E-06
俄奴	65	2	5.53868E-06
七犬	65	2	5.53868E-06
香討西	65	3	5.53868E-06
蝗父	65	2	5.53868E-06
我蟈	65	2	5.53868E-06
黎智狗	65	3	5.53868E-06
痴嬰	65	2	5.53868E-06
瀉民連	65	3	5.53868E-06
藍渣	64	2	5.45347E-06
屈雞	64	2	5.45347E-06
老處明	64	3	5.45347E-06
發膿功	64	3	5.45347E-06
記渣	63	2	5.36826E-06
越鵝	63	2	5.36826E-06
猿角勇	63	3	5.36826E-06
愚弱尾	63	3	5.36826E-06
寒角	63	2	5.36826E-06
黃絲蟻	63	3	5.36826E-06
肉九酸	62	3	5.28305E-06
淫娃傑	62	3	5.28305E-06
支蓄	62	2	5.28305E-06
梁仲含	62	3	5.28305E-06
憎肉成	62	3	5.28305E-06
基婆詩	62	3	5.28305E-06
大囗玲	61	3	5.19784E-06
淫刊	61	2	5.19784E-06
歹灣人	61	3	5.19784E-06
關你燃事	60	4	5.11263E-06
無狗用	60	3	5.11263E-06
襯地林	60	3	5.11263E-06
狗囡	60	2	5.11263E-06
爆菊全	60	3	5.11263E-06
記怯	60	2	5.11263E-06
祖蟈	60	2	5.11263E-06
熟妝	60	2	5.11263E-06
寒國人	60	3	5.11263E-06
堪家	59	2	5.02742E-06
抄九	59	2	5.02742E-06
李胃玲	59	3	5.02742E-06
聞鼠黨	59	3	5.02742E-06
目家	58	2	4.94221E-06
西隆	58	2	4.94221E-06
蝗豬	58	2	4.94221E-06
林慧屍	58	3	4.94221E-06
配落西	58	3	4.94221E-06
sub9	57	4	4.85699E-06
關你銀事	57	4	4.85699E-06
炒能晒	57	3	4.85699E-06
警淫	57	2	4.85699E-06
麻九煩	56	3	4.77178E-06
皇痴	56	2	4.77178E-06
老尸	56	2	4.77178E-06
假共國	56	3	4.77178E-06
戆	55	1	4.68657E-06
死尾角	55	3	4.68657E-06
聶狗	55	2	4.68657E-06
法爛功	55	3	4.68657E-06
插你個胃	54	4	4.60136E-06
麻卵煩	54	3	4.60136E-06
抵忍死	54	3	4.60136E-06
蠢系	54	2	4.60136E-06
踢九	54	2	4.60136E-06
機佬全	54	3	4.60136E-06
痴鷹	54	2	4.60136E-06
痴交線	53	3	4.51615E-06
敢西	53	2	4.51615E-06
良瓜傑	53	3	4.51615E-06
菜妖昌	53	3	4.51615E-06
老昧	52	2	4.43094E-06
閻家	52	2	4.43094E-06
抵西死	52	3	4.43094E-06
陰九公	52	3	4.43094E-06
戴尿瓶	52	3	4.43094E-06
雞琼	52	2	4.43094E-06
學人春潮	52	4	4.43094E-06
中蝈人	52	3	4.43094E-06
死黃能	51	3	4.34573E-06
楊岳狗	51	3	4.34573E-06
基傑	51	2	4.34573E-06
肛永長	51	3	4.34573E-06
林畜	51	2	4.34573E-06
屠狗申	51	3	4.34573E-06
頄	50	1	4.26052E-06
臭嘿	50	2	4.26052E-06
速聾	50	2	4.26052E-06
香黑	50	2	4.26052E-06
大妖鼮	50	3	4.26052E-06
梁頌痕	49	3	4.17531E-06
教妓	49	2	4.17531E-06
疏民	49	2	4.17531E-06
朱茜	49	2	4.17531E-06
爛燈仔	49	3	4.17531E-06
彭狗	49	2	4.17531E-06
校腸	49	2	4.17531E-06
閫	48	1	4.0901E-06
它母	48	2	4.0901E-06
秋系	48	2	4.0901E-06
底九死	48	3	4.0901E-06
何秀爛	48	3	4.0901E-06
蝗孫	48	2	4.0901E-06
笨土豬	48	3	4.0901E-06
4點狗會	48	4	4.0901E-06
鹵母	47	2	4.00489E-06
畜渣	47	2	4.00489E-06
攻氓	47	2	4.00489E-06
醫渣	47	2	4.00489E-06
涼爪傑	47	3	4.00489E-06
狗業	47	2	4.00489E-06
奚口	46	2	3.91968E-06
吊姐	46	2	3.91968E-06
吊記	46	2	3.91968E-06
捉燃	46	2	3.91968E-06
走能左	46	3	3.91968E-06
西玲	46	2	3.91968E-06
習畜	46	2	3.91968E-06
豬妖明	46	3	3.91968E-06
眾畜	46	2	3.91968E-06
皇屍	46	2	3.91968E-06
妓畜	45	2	3.83447E-06
四慢	45	2	3.83447E-06
廢聰	45	2	3.83447E-06
肥志英	45	3	3.83447E-06
無戀用	44	3	3.74926E-06
李大口	44	3	3.74926E-06
香討智將	44	4	3.74926E-06
seafood ghost	43	13	3.66405E-06
你魯味	43	3	3.66405E-06
費九事	43	3	3.66405E-06
你識春	43	3	3.66405E-06
辱華狗	43	3	3.66405E-06
蕭狗	43	2	3.66405E-06
泥志英	43	3	3.66405E-06
黃妖明	43	3	3.66405E-06
廢必	43	2	3.66405E-06
蠢桶	43	2	3.66405E-06
大肉棒	42	3	3.57884E-06
習匪	42	2	3.57884E-06
林匪	42	2	3.57884E-06
糜蟈佬	42	3	3.57884E-06
奶英女	42	3	3.57884E-06
含欖	41	2	3.49363E-06
棚屍	41	2	3.49363E-06
騰雞華	41	3	3.49363E-06
醜西	40	2	3.40842E-06
岳九	40	2	3.40842E-06
阻銀住	40	3	3.40842E-06
死卵	40	2	3.40842E-06
岡交全	40	3	3.40842E-06
哨牙橋	40	3	3.40842E-06
仆野精	40	3	3.40842E-06
田不神	40	3	3.40842E-06
蛙民	40	2	3.40842E-06
逃畜	40	2	3.40842E-06
黎智鷹	40	3	3.40842E-06
肛黨	40	2	3.40842E-06
低智峰	40	3	3.40842E-06
賊居	39	2	3.32321E-06
臭東	39	2	3.32321E-06
執染	39	2	3.32321E-06
耶膠	39	2	3.32321E-06
豬耀名	39	3	3.32321E-06
腦癌婆	39	3	3.32321E-06
欽莖	38	2	3.238E-06
肛永祥	38	3	3.238E-06
男偽人	38	3	3.238E-06
湯雞華	38	3	3.238E-06
花卵公	38	3	3.238E-06
底燃	37	2	3.15279E-06
麥肥婆	37	3	3.15279E-06
速犬	37	2	3.15279E-06
鄭雞蟲	37	3	3.15279E-06
魚弱尾	37	3	3.15279E-06
按膠	36	2	3.06758E-06
拆能左	36	3	3.06758E-06
蝗爺	36	2	3.06758E-06
凸嘔	36	2	3.06758E-06
塗九	36	2	3.06758E-06
腦莊	36	2	3.06758E-06
吊到邊	35	3	2.98237E-06
西款	35	2	2.98237E-06
爛民之父	35	4	2.98237E-06
倭王	35	2	2.98237E-06
反佔狗	35	3	2.98237E-06
蓬佩狗	35	3	2.98237E-06
熟葬	35	2	2.98237E-06
嗅化	34	2	2.89715E-06
有戀用	34	3	2.89715E-06
流尿卿	34	3	2.89715E-06
乞媒	34	2	2.89715E-06
嬰國人	34	3	2.89715E-06
流屎厲	34	3	2.89715E-06
賣蟈賊	34	3	2.89715E-06
監犬會	34	3	2.89715E-06
傻華	34	2	2.89715E-06
余若尾	34	3	2.89715E-06
收九皮	33	3	2.81194E-06
蔣麗暈	33	3	2.81194E-06
赤共港	33	3	2.81194E-06
毒莊	33	2	2.81194E-06
劣獅	33	2	2.81194E-06
毒忍	32	2	2.72673E-06
抵膠死	32	3	2.72673E-06
打能爆	32	3	2.72673E-06
吳文軟	32	3	2.72673E-06
劉慧兄	32	3	2.72673E-06
乙鵝	32	2	2.72673E-06
黎智嬰	32	3	2.72673E-06
鶴民	32	2	2.72673E-06
菜陰文	32	3	2.72673E-06
督賊	32	2	2.72673E-06
奔州	31	2	2.64152E-06
漆下	31	2	2.64152E-06
鄧匪	31	2	2.64152E-06
崇俄西	31	3	2.64152E-06
伎者	31	2	2.64152E-06
盧偉蔥	31	3	2.64152E-06
驚屍	31	2	2.64152E-06
痔全	31	2	2.64152E-06
on lun99	30	8	2.55631E-06
生仔冇seafood	30	10	2.55631E-06
慢能	30	2	2.55631E-06
灣灣蟲	30	3	2.55631E-06
咸蟲星	30	3	2.55631E-06
憎陰獾	30	3	2.55631E-06
逃籠	30	2	2.55631E-06
霉國人	30	3	2.55631E-06
搬小塗	30	3	2.55631E-06
鄰蟈	30	2	2.55631E-06
犯角威	30	3	2.55631E-06
狼振鷹	30	3	2.55631E-06
胡蘇狗	30	3	2.55631E-06
羊落橋	30	3	2.55631E-06
腦母	29	2	2.4711E-06
低智畜	29	3	2.4711E-06
抄能	29	2	2.4711E-06
賊國人	29	3	2.4711E-06
屠蟲	29	2	2.4711E-06
塗狗生	29	3	2.4711E-06
痕賓	29	2	2.4711E-06
梁繼娼	29	3	2.4711E-06
撼家	28	2	2.38589E-06
走母	28	2	2.38589E-06
底卵	28	2	2.38589E-06
吊距	28	2	2.38589E-06
攬樣	28	2	2.38589E-06
昂九到	28	3	2.38589E-06
益能左	28	3	2.38589E-06
含隱	28	2	2.38589E-06
死巴膠	28	3	2.38589E-06
較屍	28	2	2.38589E-06
存霉	28	2	2.38589E-06
大陰女	28	3	2.38589E-06
警黑會	28	3	2.38589E-06
肥貝澳	28	3	2.38589E-06
咸蟲基	28	3	2.38589E-06
廢卵公	28	3	2.38589E-06
鸠	27	1	2.30068E-06
考母	27	2	2.30068E-06
蝗国人	27	3	2.30068E-06
公妓黨	27	3	2.30068E-06
曾蔭狗	27	3	2.30068E-06
肥狗蓬	27	3	2.30068E-06
蠅氓	27	2	2.30068E-06
黎狗英	27	3	2.30068E-06
推能爆	26	3	2.21547E-06
廢九事	26	3	2.21547E-06
支猩	26	2	2.21547E-06
屠狗生	26	3	2.21547E-06
磚渣	26	2	2.21547E-06
菊眼	25	2	2.13026E-06
林狗廷	25	3	2.13026E-06
林糞強	25	3	2.13026E-06
乞護	25	2	2.13026E-06
袁角勇	25	3	2.13026E-06
藍賊	25	2	2.13026E-06
何蓄	25	2	2.13026E-06
李大咀	25	3	2.13026E-06
塗傑	25	2	2.13026E-06
日必落	25	3	2.13026E-06
瘦蘭	25	2	2.13026E-06
蝗起	25	2	2.13026E-06
檸樣	24	2	2.04505E-06
老濛	24	2	2.04505E-06
扑銜	24	2	2.04505E-06
支豚	24	2	2.04505E-06
蠙	24	1	2.04505E-06
英國賊	24	3	2.04505E-06
張狗虹	24	3	2.04505E-06
李卡超	24	3	2.04505E-06
淫榮基	24	3	2.04505E-06
攻棍	24	2	2.04505E-06
譚尿盅	24	3	2.04505E-06
泥毒果	24	3	2.04505E-06
吹九脹	23	3	1.95984E-06
無拿用	23	3	1.95984E-06
含輪	23	2	1.95984E-06
捉能哂	23	3	1.95984E-06
淫日君	23	3	1.95984E-06
塵日君	23	3	1.95984E-06
魔護	23	2	1.95984E-06
愚弱薇	23	3	1.95984E-06
吊到爛	22	3	1.87463E-06
狗蟹	22	2	1.87463E-06
臭門西	22	3	1.87463E-06
五矛	22	2	1.87463E-06
燦豬	22	2	1.87463E-06
藍歹	22	2	1.87463E-06
大劣司	22	3	1.87463E-06
涼仲含	22	3	1.87463E-06
蠅國人	22	3	1.87463E-06
萎橋	22	2	1.87463E-06
蝗師	22	2	1.87463E-06
垃局	22	2	1.87463E-06
肥腦黎	22	3	1.87463E-06
妖功	22	2	1.87463E-06
化濃工	22	3	1.87463E-06
chi lan sin	21	11	1.78942E-06
亂七甘	21	3	1.78942E-06
李魯味	21	3	1.78942E-06
王獅	21	2	1.78942E-06
網畜	21	2	1.78942E-06
歐奸	21	2	1.78942E-06
文宣毒果	21	4	1.78942E-06
錢卓人	21	3	1.78942E-06
尾閣人	21	3	1.78942E-06
瀉聞連	21	3	1.78942E-06
陳萎孽	21	3	1.78942E-06
四點狗會	21	4	1.78942E-06
蝗賊	21	2	1.78942E-06
文酸狗	21	3	1.78942E-06
屈人黨	21	3	1.78942E-06
jo mud 9	20	8	1.70421E-06
麻西煩	20	3	1.70421E-06
吊慣	20	2	1.70421E-06
挑記	20	2	1.70421E-06
智銀將	20	3	1.70421E-06
錄能	20	2	1.70421E-06
割榮亨	20	3	1.70421E-06
爛面蟈	20	3	1.70421E-06
虫國人	20	3	1.70421E-06
李柱命	20	3	1.70421E-06
宋楚魚	20	3	1.70421E-06
串九人	19	3	1.619E-06
矇西	19	2	1.619E-06
鏈樣	19	2	1.619E-06
佐膠	19	2	1.619E-06
窮黃絲	19	3	1.619E-06
河盡淫	19	3	1.619E-06
蛆國人	19	3	1.619E-06
王蟻	19	2	1.619E-06
攝妓	19	2	1.619E-06
菜嬰魂	19	3	1.619E-06
肥娥	19	2	1.619E-06
劣政師	19	3	1.619E-06
鄺暴	19	2	1.619E-06
偽仁	19	2	1.619E-06
嵌家	18	2	1.53379E-06
奇九怪	18	3	1.53379E-06
第能	18	2	1.53379E-06
醜能到	18	3	1.53379E-06
博人吊	18	3	1.53379E-06
啞能左	18	3	1.53379E-06
江交全	18	3	1.53379E-06
燃仲痕	18	3	1.53379E-06
狗國人	18	3	1.53379E-06
汪痴	18	2	1.53379E-06
腥港仁	18	3	1.53379E-06
燒藥員	18	3	1.53379E-06
角榮亨	18	3	1.53379E-06
林大虧	18	3	1.53379E-06
師畜	18	2	1.53379E-06
馬面儀	18	3	1.53379E-06
斑膿	18	2	1.53379E-06
狼鎮鷹	18	3	1.53379E-06
狐官	18	2	1.53379E-06
奠婆	18	2	1.53379E-06
屍腸	18	2	1.53379E-06
小到邊	17	3	1.44858E-06
有西膽	17	3	1.44858E-06
杜文狗	17	3	1.44858E-06
聞酸狗	17	3	1.44858E-06
蛆蝈	17	2	1.44858E-06
蛜	17	1	1.44858E-06
蚏蛾	17	2	1.44858E-06
警古	17	2	1.44858E-06
黎厠英	17	3	1.44858E-06
肥卿	17	2	1.44858E-06
蝗洋達	17	3	1.44858E-06
低智英	17	3	1.44858E-06
傻聰	17	2	1.44858E-06
禽流黨	17	3	1.44858E-06
攻聞袋	17	3	1.44858E-06
割文黨	17	3	1.44858E-06
驚嘿	16	2	1.36337E-06
好銀驚	16	3	1.36337E-06
執燃	16	2	1.36337E-06
台灣蟲	16	3	1.36337E-06
范國西	16	3	1.36337E-06
遊惠精	16	3	1.36337E-06
蕭老狗	16	3	1.36337E-06
乞衣戶	16	3	1.36337E-06
終蟈淫	16	3	1.36337E-06
狼瓜傑	16	3	1.36337E-06
罌國人	16	3	1.36337E-06
賴共鬼	16	3	1.36337E-06
楊委橋	16	3	1.36337E-06
騷精娼	16	3	1.36337E-06
犯角龜	15	3	1.27816E-06
蝗友	15	2	1.27816E-06
魚藥微	15	3	1.27816E-06
妖娥	15	2	1.27816E-06
我蝈	15	2	1.27816E-06
較怯	15	2	1.27816E-06
梁國熊	15	3	1.27816E-06
死肥聰	15	3	1.27816E-06
憎陰拳	15	3	1.27816E-06
狗琦	15	2	1.27816E-06
社蠻	15	2	1.27816E-06
肛吻黨	15	3	1.27816E-06
杏+橙	14	3	1.19295E-06
底銀死	14	3	1.19295E-06
趁地臨	14	3	1.19295E-06
封能左	14	3	1.19295E-06
西仲痕	14	3	1.19295E-06
垃圾局耳完	14	5	1.19295E-06
胃慶	14	2	1.19295E-06
肺卿	14	2	1.19295E-06
屍君蟲	14	3	1.19295E-06
譚失智	14	3	1.19295E-06
講吊人	13	3	1.10774E-06
挑利	13	2	1.10774E-06
夠燃膽	13	3	1.10774E-06
蝗粉	13	2	1.10774E-06
熱鵝	13	2	1.10774E-06
深振英	13	3	1.10774E-06
記蓄	13	2	1.10774E-06
李七淫	13	3	1.10774E-06
淫煤	13	2	1.10774E-06
警癌	13	2	1.10774E-06
屠緊生	13	3	1.10774E-06
執葉堯	13	3	1.10774E-06
紅衛冰	13	3	1.10774E-06
政昆	13	2	1.10774E-06
痔應	13	2	1.10774E-06
李老處	13	3	1.10774E-06
畜母	12	2	1.02253E-06
朴銜	12	2	1.02253E-06
乃共婆	12	3	1.02253E-06
五蚊黨	12	3	1.02253E-06
糜國人	12	3	1.02253E-06
曾俊狗	12	3	1.02253E-06
逃蟲	12	2	1.02253E-06
磚葉人士	12	4	1.02253E-06
慘國人	12	3	1.02253E-06
梁粉蟲	12	3	1.02253E-06
肥腦泥	12	3	1.02253E-06
陶渣	12	2	1.02253E-06
政妓	12	2	1.02253E-06
丟哪媽	11	3	9.37315E-07
杏嘉橙	11	3	9.37315E-07
正人西	11	3	9.37315E-07
狗仲痕	11	3	9.37315E-07
張撻明	11	3	9.37315E-07
田不類	11	3	9.37315E-07
閒傘	11	2	9.37315E-07
鬼国人	11	3	9.37315E-07
魚若眉	11	3	9.37315E-07
從孽員	11	3	9.37315E-07
淫蕙禎	11	3	9.37315E-07
警氓	11	2	9.37315E-07
黎匪	11	2	9.37315E-07
雞佬全	11	3	9.37315E-07
譚妖中	11	3	9.37315E-07
泥紙英	11	3	9.37315E-07
痴然線	10	3	8.52104E-07
可九憐	10	3	8.52104E-07
執狗左	10	3	8.52104E-07
卵款	10	2	8.52104E-07
講麥春	10	3	8.52104E-07
何俊狗	10	3	8.52104E-07
華春瑩子	10	4	8.52104E-07
蝗叔	10	2	8.52104E-07
蓄蟲	10	2	8.52104E-07
棺材子	10	3	8.52104E-07
牆国人	10	3	8.52104E-07
肛淫黨	10	3	8.52104E-07
霉角	10	2	8.52104E-07
栗政屍	10	3	8.52104E-07
魚藥眉	10	3	8.52104E-07
范國虧	10	3	8.52104E-07
張華瘋	10	3	8.52104E-07
陰九濕	9	3	7.66894E-07
魯姆西	9	3	7.66894E-07
吊巨	9	2	7.66894E-07
辛九苦	9	3	7.66894E-07
正懵燃	9	3	7.66894E-07
有西權	9	3	7.66894E-07
殺能哂	9	3	7.66894E-07
輸能到	9	3	7.66894E-07
爆菊傑	9	3	7.66894E-07
李雀痕	9	3	7.66894E-07
范國雞	9	3	7.66894E-07
李削人	9	3	7.66894E-07
羊岳喬	9	3	7.66894E-07
蝀	9	1	7.66894E-07
林鄭穴	9	3	7.66894E-07
死克狗	9	3	7.66894E-07
泥紙鷹	9	3	7.66894E-07
飛雞豪	9	3	7.66894E-07
劣症	9	2	7.66894E-07
姜溶	9	2	7.66894E-07
盲燃	8	2	6.81683E-07
丟雷	8	2	6.81683E-07
炒狗左	8	3	6.81683E-07
恆家	8	2	6.81683E-07
玩狗班	8	3	6.81683E-07
親地林	8	3	6.81683E-07
壬尸	8	2	6.81683E-07
魚旦厲	8	3	6.81683E-07
越蛾	8	2	6.81683E-07
逃聾	8	2	6.81683E-07
涼角熊	8	3	6.81683E-07
吳黑儉	8	3	6.81683E-07
肛哩	8	2	6.81683E-07
廁鷹	8	2	6.81683E-07
淫鼠黨	8	3	6.81683E-07
塗謹辛	8	3	6.81683E-07
痴系線	7	3	5.96473E-07
費西事	7	3	5.96473E-07
陰能功	7	3	5.96473E-07
福夭	7	2	5.96473E-07
牛小麗	7	3	5.96473E-07
孽源	7	2	5.96473E-07
傻佩澳	7	3	5.96473E-07
肥雞麥	7	3	5.96473E-07
張達暗	7	3	5.96473E-07
執葉律司	7	4	5.96473E-07
彭尸	7	2	5.96473E-07
邪共人	7	3	5.96473E-07
菜陰紋	7	3	5.96473E-07
陸佰狗	7	3	5.96473E-07
瀨尿仁	7	3	5.96473E-07
基篤桃	7	3	5.96473E-07
蠻主黨	7	3	5.96473E-07
人七無藥醫	6	5	5.11263E-07
告西得入	6	4	5.11263E-07
喊春	6	2	5.11263E-07
走燃左	6	3	5.11263E-07
好銀忙	6	3	5.11263E-07
沈畜	6	2	5.11263E-07
李悼人	6	3	5.11263E-07
犯角西	6	3	5.11263E-07
貪松	6	2	5.11263E-07
塗膿	6	2	5.11263E-07
嬰角人	6	3	5.11263E-07
支戀會	6	3	5.11263E-07
馬奸儀	6	3	5.11263E-07
美蟈佬	6	3	5.11263E-07
狡獸	6	2	5.11263E-07
台獨犬	6	3	5.11263E-07
雛記	6	2	5.11263E-07
痔鷹	6	2	5.11263E-07
奶共師	6	3	5.11263E-07
掉啦媽	5	3	4.26052E-07
收乜野皮	5	4	4.26052E-07
痴膠佐	5	3	4.26052E-07
林姥屍	5	3	4.26052E-07
滋拿仁	5	3	4.26052E-07
香共討	5	3	4.26052E-07
孽變猿	5	3	4.26052E-07
蕭壞腦	5	3	4.26052E-07
大粟屎	5	3	4.26052E-07
瀉聞年	5	3	4.26052E-07
殆灣人	5	3	4.26052E-07
大筆裂癲	5	4	4.26052E-07
散脅	5	2	4.26052E-07
拘耳完	5	3	4.26052E-07
林雞基	5	3	4.26052E-07
日永落	5	3	4.26052E-07
西穴	4	2	3.40842E-07
鄭穴娥	4	3	3.40842E-07
偽國人	4	3	3.40842E-07
廢魯	4	2	3.40842E-07
宾州	3	2	2.55631E-07
好然型	3	3	2.55631E-07
美割人	3	3	2.55631E-07
香港種恥	3	4	2.55631E-07
賭春	2	2	1.70421E-07
蛆国人	2	3	1.70421E-07
林賴月娥	2	4	1.70421E-07
on lun77	1	8	8.52104E-08
封燃左	1	3	8.52104E-08
黃碌燃	1	3	8.52104E-08
游胃蒸	1	3	8.52104E-08
畜國人	1	3	8.52104E-08
蔡蛇	1	2	8.52104E-08
乞衣政苦	1	4	8.52104E-08
