words	freq	n	p
西窿	357	2	3.04201E-05
hi你	356	3	3.03349E-05
淫西	354	2	3.01645E-05
梁仲痕	353	3	3.00793E-05
癲晒	352	2	2.99941E-05
蓄龍	351	2	2.99089E-05
雞禎	349	2	2.97384E-05
食糞	348	2	2.96532E-05
蝗狗	347	2	2.9568E-05
賴西	346	2	2.94828E-05
蔣匪	346	2	2.94828E-05
痴筋	345	2	2.93976E-05
乜燃	344	2	2.93124E-05
狗醫	344	2	2.93124E-05
比加超	343	3	2.92272E-05
毒煤	343	2	2.92272E-05
狼生	343	2	2.92272E-05
薑蓉	343	2	2.92272E-05
胡狗	342	2	2.9142E-05
傷學	340	2	2.89715E-05
老毋	339	2	2.88863E-05
赤匪	339	2	2.88863E-05
肥特	338	2	2.88011E-05
張廿蚊	337	3	2.87159E-05
沸青	336	2	2.86307E-05
胃卿	336	2	2.86307E-05
敖狗	335	2	2.85455E-05
低智森	335	3	2.85455E-05
醫狗	334	2	2.84603E-05
咸家	333	2	2.83751E-05
毒蛾	333	2	2.83751E-05
京西	332	2	2.82899E-05
敗燈	331	2	2.82047E-05
汪狗	329	2	2.80342E-05
低九能	325	3	2.76934E-05
寶周	325	2	2.76934E-05
死癲狗	323	3	2.7523E-05
晒九氣	323	3	2.7523E-05
仚	322	1	2.74378E-05
台奸	322	2	2.74378E-05
蝗后	321	2	2.73525E-05
廢能	319	2	2.71821E-05
乞醫	319	2	2.71821E-05
腫筒	319	2	2.71821E-05
臭爛	317	2	2.70117E-05
奸狼	317	2	2.70117E-05
支共人	316	3	2.69265E-05
黑爆	315	2	2.68413E-05
鬼國人	312	3	2.65857E-05
盲西	311	2	2.65004E-05
痴曬線	311	3	2.65004E-05
On79	311	4	2.65004E-05
暴青	311	2	2.65004E-05
醫牲	311	2	2.65004E-05
蔣元秋	311	3	2.65004E-05
尾割	309	2	2.633E-05
李處冥	308	3	2.62448E-05
白偉俊	307	3	2.61596E-05
攻黨	306	2	2.60744E-05
飲樣	305	2	2.59892E-05
炒九	305	2	2.59892E-05
博吊	304	2	2.5904E-05
雜帝	303	2	2.58188E-05
黑友	302	2	2.57336E-05
文痞	302	2	2.57336E-05
日犬	301	2	2.56483E-05
濕膠	300	2	2.55631E-05
政渣	300	2	2.55631E-05
愛登力	299	3	2.54779E-05
栗屍	299	2	2.54779E-05
肥佩奧	298	3	2.53927E-05
湯十一	298	3	2.53927E-05
燃到	297	2	2.53075E-05
日畜	297	2	2.53075E-05
渣畜	295	2	2.51371E-05
肺清	295	2	2.51371E-05
共犬	295	2	2.51371E-05
圍九	294	2	2.50519E-05
食能屎	294	3	2.50519E-05
社棍	293	2	2.49667E-05
魯無	292	2	2.48814E-05
男狗	290	2	2.4711E-05
猿國勇	290	3	2.4711E-05
豬風	289	2	2.46258E-05
乜漆	288	2	2.45406E-05
女拳	288	2	2.45406E-05
英賊	288	2	2.45406E-05
仆銜	287	2	2.44554E-05
記脅	282	2	2.40293E-05
貪憎	282	2	2.40293E-05
爛面幗	281	3	2.39441E-05
王痴	281	2	2.39441E-05
痴媽根	280	3	2.38589E-05
狂小	280	2	2.38589E-05
老糜	280	2	2.38589E-05
